County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",105400,93600,127600,116100,96900,131200,118900,116900,120800,125400,110600,120200,117000,83500,162700,123800,125000,118700
,"Slåttervall, återväxt",35500,35200,37000,51300,46800,51300,59600,41700,38700,60500,39600,60100,55600,41200,75400,66600,67300,56100
,"Slåttervall, total vallskörd",140900,128800,164600,167500,143700,182400,178500,158600,159700,186000,150100,180300,172600,124700,238000,190400,192300,174800
18 Örebro län,Höstvete,49300,57300,73000,69000,48900,51300,53500,56500,28500,87700,105900,68200,110700,61700,139500,123000,120900,125900
,Vårvete,32300,25000,22900,25300,27400,31000,35800,30800,50200,37000,37300,44300,32900,19800,22400,22600,14900,23500
,Råg,4000,6100,7700,8300,7900,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6300,6200,6500,5000
,Vårkorn,80800,51900,63800,75200,77400,45700,60500,65800,92600,71600,67400,77000,81200,50600,66000,65600,37500,52600
,Havre,51800,47700,72300,72200,65700,42900,66600,56200,68200,60600,63100,64700,54500,26600,59300,64500,41700,52500
,Rågvete,6400,9400,11600,10600,5300,..,..,..,..,6900,.,.,.,.,.,.,4000,6500
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,6100,..,..,..,5600,..,3700,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,165400,304100,293600,229000,268600
,Ärter,3200,2400,2300,..,3000,3700,3600,2200,2500,3100,4500,4900,4100,3200,4100,3500,2200,4000
,Åkerbönor,..,..,..,..,..,..,..,..,..,2200,2400,2600,..,..,..,1500,1300,..
,Höstraps,..,..,..,2600,..,..,2400,2900,..,3800,6200,5100,9800,7900,14500,9700,10900,10100
,Vårraps,6400,6400,6500,4400,5900,5100,6300,5900,5700,1900,..,..,..,..,..,..,..,2100
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,3600,..,6600,5500,10700,4600,..,..
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,1200,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,22200,18300,20000,15600,19100,13100,18300,11900,13200,14700,13200,15600,16000,12300,16200,16000,11900,15900
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",69100,61500,70900,51600,76700,74600,61600,77200,68400,82600,70600,71900,67200,55300,77000,70400,59700,55400
,"Slåttervall, återväxt",19800,43100,29500,22200,..,..,..,..,..,..,..,50600,..,44500,45400,..,31400,..
,"Slåttervall, total vallskörd",88800,104500,100400,73800,..,..,95000,109900,103100,125400,117500,122500,108400,99800,122300,109500,91100,88900
19 Västmanlands län,Höstvete,57600,83600,91600,94200,60700,50200,72800,53500,16600,121200,141200,73500,126400,49700,144900,129900,142400,132200
,Vårvete,34300,20500,16800,17800,18100,30300,22800,26400,51200,35400,34900,36100,26200,14000,18400,21500,13600,19000
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,105400,71700,72000,97200,99700,59600,67400,70000,94900,76300,80000,87500,95100,56600,77400,73800,35400,63400
,Havre,57800,54000,71500,63300,64300,36600,55200,59200,78800,55300,69600,61400,55800,26100,63100,67000,36100,59200
,Rågvete,..,4400,5000,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,4500,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,149500,314900,299700,235700,281900
,Ärter,3400,3800,2400,1200,2200,2800,3400,1800,3200,3400,6300,7100,6300,4900,5500,5600,3500,8900
,Åkerbönor,..,..,..,..,..,..,..,..,..,3100,5200,4900,3600,..,2800,2900,2000,4000
,Höstraps,..,..,..,..,..,..,1000,..,..,1900,3300,2500,6800,2400,6500,7900,5800,2300
,Vårraps,8600,6600,6200,3900,5500,4900,7500,8600,9700,1700,..,2200,1900,1600,..,1200,1100,4100
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,1100,..,..,..,..,..,1200,..,..,..,..,..,..
,Matpotatis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",..,..,34200,..,..,..,..,..,..,..,36800,..,41800,40700,49500,70100,..,31700
,"Slåttervall, återväxt",..,..,..,..,..,..,..,..,..,..,..,..,..,42800,..,..,..,..
,"Slåttervall, total vallskörd",..,..,..,..,..,..,..,..,..,..,55300,..,76800,83500,75700,109100,..,50900
20 Dalarnas län,Höstvete,4400,6500,7500,8900,6200,5000,9200,8500,..,16700,16300,11100,17400,5100,16600,13600,18900,14700
,Vårvete,2200,2000,3200,2200,1900,..,4400,4700,7800,6800,7200,8100,9200,5000,8200,4700,3000,4300
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,39200,27900,38400,36700,35300,22300,27500,22500,30100,27500,26300,28500,26300,18400,31500,21500,16800,23500
,Havre,11800,8400,15200,11400,11000,8900,13200,12900,14700,15300,18000,18000,21600,9900,20000,21700,19300,25200
,Rågvete,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,40200,80600,66600,61700,71800
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,600,1400,1600,..,2000
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,1800,..,..,..,1500,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,700,600,..,..,600,600,900,900,1000,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,5400,..,..,..,..
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,18800,18900,21900,24000,21000,21600,28900,21200,28900,23600,23200,24300,23100,21900,25100,23800,23100,25800
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",65300,70600,74600,78700,64000,88100,79600,81500,63000,85800,95400,46800,81700,53400,65100,66300,79100,53700
,"Slåttervall, återväxt",28800,19900,24600,..,..,..,32400,..,..,61400,..,18000,41600,36400,..,30400,47400,..
,"Slåttervall, total vallskörd",94200,90500,99300,..,..,..,111900,97300,85000,147100,151100,64700,123300,89700,82900,96700,126500,91900
21 Gävleborgs län,Höstvete,..,..,..,..,..,..,..,..,..,4900,7500,..,6200,..,7200,3700,6200,5700
,Vårvete,..,..,1800,2500,2000,..,3200,4300,5300,6200,8900,9600,9600,3500,6900,9000,6200,5700
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,27800,21600,31900,34500,31400,20800,23700,22800,33600,30700,30500,26200,25400,18500,25000,31600,25100,28900
,Havre,10100,6400,10200,10500,11100,7000,9900,8800,10400,9200,10200,11500,9300,5400,8000,11800,10200,12700
,Rågvete,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,29400,48400,56800,48100,53600
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,700,500,..,..,..,700
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,3400,4200,5800,5800,4400,3800,..,5400,4500,3200,1900,3000
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,11400,6100,6000,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,5200,5500,5700,5800,4400,5000,4200,3300,4100,3400,3400,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",84800,87600,87000,95400,116900,91900,100200,85300,109300,95400,105700,105000,94000,67200,122600,96400,103300,86000
,"Slåttervall, återväxt",27200,34400,35900,37000,55300,..,..,..,39900,58400,64900,63200,46500,46700,58100,49800,46300,54200
,"Slåttervall, total vallskörd",112100,122000,122900,132300,172200,..,134900,109300,149200,153700,170600,168200,140500,113900,180700,146200,149600,140200
22 Västernorrlands län,Höstvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,8000,7200,8700,10100,7700,7500,6100,5000,8600,8200,7300,7800,6000,4100,6800,7700,6700,7700
,Havre,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Rågvete,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,5300,9700,9900,9000,11400
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,2800,3900,3700,3800,5200,2900,4300,4000,3100,3500,3700,2700
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,6200,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,..,2700,2200,..,..,3600,2800,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",69300,80900,76300,68500,97600,93800,99700,83400,90400,84300,89300,96100,74600,60700,69700,58100,86600,74500
,"Slåttervall, återväxt",18100,11100,23800,..,..,34900,..,30200,24500,..,..,30800,27100,33700,35900,23300,..,..
,"Slåttervall, total vallskörd",87400,92000,100200,..,..,128700,114900,113600,115000,114900,128800,126900,101700,94400,105700,81400,100600,100300
23 Jämtlands län,Höstvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,4700,4900,5500,5800,5800,4400,5900,3900,6700,5900,4200,5800,6500,2500,4400,4500,5300,6300
,Havre,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Rågvete,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,2700,4600,4900,5800,6800
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,4200,5000,4400,4200,4300,4700,4600,4000,4200,4200,3500,4100
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,4600,6300,5800,5500
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",78500,72600,55200,82500,..,..,83200,79100,..,77800,65100,90400,70200,51000,85400,60900,71800,83500
,"Slåttervall, återväxt",22700,18400,15300,..,..,..,..,..,..,..,..,36200,30000,30100,28200,36800,38100,..
,"Slåttervall, total vallskörd",101200,91000,70400,..,..,..,119700,107500,..,99900,90800,126700,100200,81100,113600,97800,109900,111400
24 Västerbottens län,Höstvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,24300,18800,22200,21700,20900,19400,20500,13700,26600,24000,13900,19800,13000,19600,22800,21900,19200,22800
,Havre,2400,2400,2900,2800,..,1500,..,..,..,..,1200,2100,700,..,1500,..,900,1900
,Rågvete,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,21900,24900,24400,21500,26700
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,6400,5700,7400,8900,5600,5100,3500,2900,4700,5300,2700,4300
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,6000,..,6000,7900,9800,6800,9300
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,7700,7300,6800,7200,6700,6400,7100,5500,6700,5400,4200,5900,4500,4600,4400,4200,4200,3700
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",98700,88300,76600,110300,108600,88000,96400,111300,97300,84000,88500,97400,71000,78800,102800,78800,95800,111200
,"Slåttervall, återväxt",32500,25900,44500,33700,59900,50800,42700,36500,33900,65400,47300,52400,34100,53000,53400,55000,47300,58100
,"Slåttervall, total vallskörd",131200,114200,121100,144000,168300,138900,139000,147800,131200,149500,135900,149800,105000,131800,156100,133800,143200,169300
25 Norrbottens län,Höstvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårvete,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,9100,9300,9300,9900,9200,9600,4200,4700,10600,10500,4300,8200,3900,6400,6400,5600,6200,8600
,Havre,..,..,..,..,..,..,..,..,900,..,..,..,300,..,..,1000,..,..
,Rågvete,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,7500,8400,6900,7200,9900
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,2100,3000,3100,3000,1600,1800,1600,2000,1100,1800,1200,2000
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,9800,11300,10900,11200,10100,9500,7600,6900,10500,8700,5500,7300,6700,6700,6600,6800,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",47700,..,..,..,..,..,..,56900,..,54400,69600,52100,36000,36900,60400,44100,58800,52700
,"Slåttervall, återväxt",36600,..,..,..,..,..,..,..,..,..,32400,20400,..,32000,..,..,..,..
,"Slåttervall, total vallskörd",84300,..,..,..,..,..,..,73400,..,79200,102000,72500,51400,69000,80900,81000,82300,67200
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Höstvete:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Vårvete:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Råg:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Höstkorn:,,,,,,,,,,,,,,,,,,,
Redovisas från 1995.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Höstkorn:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Vårkorn:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Havre:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Rågvete:,,,,,,,,,,,,,,,,,,,
Redovisas fram till 2014. Särredovisas därefter som Höstrågvete och Vårrågvete.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Rågvete:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Höstrågvete:,,,,,,,,,,,,,,,,,,,
Redovisas från 2015.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Höstrågvete:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Vårrågvete:,,,,,,,,,,,,,,,,,,,
Redovisas från 2015.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Vårrågvete:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Blandsäd:,,,,,,,,,,,,,,,,,,,
"Skördestatistik saknas för länen åren 1979-1998 och för riket åren 1981-1994.
Med blandsäd avses stråsädesblandningar och stråsäd/baljväxtblandningar.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Blandsäd:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Majs:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Spannmål totalt:,,,,,,,,,,,,,,,,,,,
Redovisas från 2018.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Spannmål totalt:,,,,,,,,,,,,,,,,,,,
14 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Ärter:,,,,,,,,,,,,,,,,,,,
Redovisas från 1996.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Ärter:,,,,,,,,,,,,,,,,,,,
15 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Åkerbönor:,,,,,,,,,,,,,,,,,,,
Redovisas från 2004.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Åkerbönor:,,,,,,,,,,,,,,,,,,,
15 % vattenhalt.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gröda:,,,,,,,,,,,,,,,,,,,
Höstraps:,,,,,,,,,,,,,,,,,,,
