County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Vårvete,..,..,..,2100,2500,..,3100,4600,3800,..,3600,..,3500,..,2100,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,10300,5300,5500,7900,7700,6100,7100,8000,10500,9600,13100,12000,12200,6500,12400,14800,10800,17000
,Havre,19200,7300,10200,15400,14800,12600,12500,11000,11000,9900,13700,13500,10200,3700,7500,8400,6200,7500
,Rågvete,3800,3000,3100,3000,3000,2400,..,..,..,..,.,.,.,.,.,.,3100,4400
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,2700,..,..,..,..,..,2900,4000
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,15800,29400,35100,27700,39600
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,3200,6200,2400,4300,3500,4700,4400,7100,6800,5300,5700,3300
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",70800,..,80700,66200,..,108000,77000,69900,75700,89200,98700,87700,92800,77200,96600,83500,83600,82000
,"Slåttervall, återväxt",39300,..,58800,73500,..,71100,..,40900,66700,66100,51100,51000,81900,41100,81700,81000,72000,..
,"Slåttervall, total vallskörd",110100,..,139500,139700,..,179200,123400,110800,142400,155300,149800,138700,174800,118300,178300,164500,155600,127700
08 Kalmar län,Höstvete,61600,48000,59100,71900,69600,55700,53200,80100,74000,85000,91400,97900,88100,52300,87000,96100,72100,81100
,Vårvete,4700,2800,3400,4300,5200,4800,6300,8100,6600,7400,7200,5800,5900,3100,3400,2900,2700,3200
,Råg,..,..,..,3100,4000,2500,..,..,..,..,2800,..,..,..,..,4100,3400,4200
,Höstkorn,6500,4500,9100,12600,19300,13300,9000,13200,15000,17000,17000,17800,14900,7400,13600,15500,13400,14700
,Vårkorn,52000,30100,41800,39600,40800,25400,34800,45100,43200,42500,46000,37700,35300,17600,26200,29000,17100,25400
,Havre,17200,9000,14900,13100,14800,7900,9900,11400,12400,10900,12600,11800,8100,2700,5200,7700,3900,5200
