County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,6060,4380,4200,2350,4150,4660,4960,4790
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,490,400,330,250,100,..,210,100
,Blandsäd,2150,1610,1580,1910,1890,2710,2140,1840,2190,1710,1190,1040,510,760,390,860,580,640
,Majs,..,..,0,30,0,..,0,..,..,..,..,..,..,..,0,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,83750,89480,91310,91140,88160
,Ärter,5030,4180,2670,2010,3440,3680,2570,2110,2180,2700,3540,3680,4510,3390,2730,3370,3590,2650
,Åkerbönor,390,580,860,1300,2250,3060,4000,3850,3880,3790,4590,5510,4760,3840,2830,3170,3840,3860
,Höstraps,5560,7000,8890,9820,7420,6410,4530,7380,5800,8550,10070,8090,12340,10340,12330,11240,11460,13770
,Vårraps,2700,2700,3760,3350,3760,3980,3790,4370,6720,1980,330,530,580,1180,430,..,400,530
,Höstrybs,50,30,20,..,..,20,20,10,30,50,20,20,10,10,40,..,40,40
,Vårrybs,340,310,340,170,120,100,100,70,130,70,30,50,40,40,50,..,30,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,1870,2090,1070,1570,1850,3410,3620,6470,2840,3310,2320,2210
,Majs till grönfoder,..,..,..,..,.,.,640,680,710,780,910,690,640,740,800,..,760,840
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,550,630,690,910,870,480,1030,1670,890,..,840,600
,Oljelin,4300,3670,1520,1520,4250,6910,6680,4360,3050,3500,3430,3750,2110,1900,1100,860,1540,2000
,Matpotatis,1790,1810,1790,1740,1820,1820,1890,1730,1690,1760,1760,1640,1810,1780,1730,1710,1760,1650
,Potatis för stärkelse,20,..,..,..,..,10,10,..,..,..,..,..,..,..,..,..,..,20
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",52020,54680,52380,60350,57080,53920,57300,62500,61320,61510,57280,59770,54370,61110,62170,59950,62500,60050
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,59950,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,59950,.,.
06 Jönköpings län,Höstvete,750,950,920,890,1150,1490,1420,1200,880,1890,1890,2180,1980,1150,2170,2330,2700,2830
,Vårvete,130,110,100,270,170,180,470,990,1000,790,640,670,480,360,360,..,470,400
,Råg,10,0,10,10,20,10,60,40,30,80,30,30,30,30,250,..,200,240
,Höstkorn,90,20,30,20,40,40,40,0,..,10,40,70,50,60,180,..,300,360
,Vårkorn,6820,4620,5870,5450,4970,5300,5230,5380,6290,5730,5760,6110,6450,3820,5220,6240,6660,5240
,Havre,6220,5230,6410,6640,5940,5370,5320,5970,5380,4580,5520,4480,4390,1510,2580,2930,3640,3250
,Rågvete,1180,1320,1160,1080,970,730,550,310,330,770,.,.,.,.,.,.,1090,1310
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,550,510,790,400,610,..,1000,1280
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,160,70,110,60,30,..,90,30
,Blandsäd,1570,1530,1290,1400,1770,1160,1190,990,1150,1160,770,1030,1010,330,690,..,560,750
,Majs,..,..,40,0,..,..,0,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,7710,12080,13860,15630,14370
,Ärter,40,60,80,50,40,90,30,10,10,20,50,50,90,70,50,..,100,60
,Åkerbönor,50,20,20,20,10,110,60,70,60,70,100,100,90,100,10,..,90,40
,Höstraps,160,140,180,150,200,230,150,160,210,230,310,320,390,450,440,..,520,660
,Vårraps,60,80,60,70,100,120,70,90,70,10,0,30,60,70,10,..,40,20
,Höstrybs,..,..,..,..,..,..,..,20,..,10,..,..,..,10,..,..,..,30
,Vårrybs,..,..,..,..,..,10,30,10,..,..,..,..,..,0,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,2340,2000,1830,2160,3170,4240,3370,10320,5460,4210,3160,3470
,Majs till grönfoder,..,..,..,..,.,.,120,140,140,130,120,100,100,80,90,..,140,220
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,2370,2410,2280,3070,2080,1560,2110,2600,3350,..,2990,2950
,Oljelin,..,0,0,0,0,20,60,20,0,..,..,10,..,..,..,..,..,..
,Matpotatis,300,270,280,290,260,220,210,180,110,100,110,100,100,70,80,80,70,80
,Potatis för stärkelse,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",53460,54250,56310,61870,56680,55280,62770,59090,59660,57030,57130,54190,56210,55440,52700,54180,55420,57370
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,54180,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,54180,.,.
07 Kronobergs län,Höstvete,300,450,340,400,670,690,610,350,390,500,560,730,740,440,700,..,820,1140
,Vårvete,60,150,260,480,570,520,740,1100,910,840,740,650,760,480,470,..,420,360
,Råg,30,30,40,10,50,70,50,60,20,40,40,10,20,50,70,..,90,90
,Höstkorn,20,10,0,10,30,30,20,10,40,10,20,40,20,30,40,..,110,60
,Vårkorn,2680,2150,2220,2340,2020,1810,2170,2130,2590,2510,3030,2810,3100,2400,2880,3460,3410,3560
,Havre,4690,3500,3270,4040,3420,3470,3230,2910,2830,2430,2860,3130,2610,1450,1880,2070,2080,1960
,Rågvete,820,820,720,590,830,600,330,260,300,560,.,.,.,.,.,.,670,800
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,530,460,440,240,430,..,590,720
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,80,100,130,50,40,..,80,80
,Blandsäd,480,380,500,410,310,370,170,130,180,250,230,210,250,130,50,..,100,120
,Majs,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,5270,6560,7740,7700,8090
,Ärter,10,0,10,10,20,20,10,0,0,10,10,0,10,10,..,..,20,10
,Åkerbönor,..,..,0,..,..,0,10,20,10,10,10,10,30,40,..,..,..,40
,Höstraps,..,..,50,60,80,140,80,80,110,100,110,100,130,110,110,..,120,210
,Vårraps,30,20,20,60,40,40,30,60,100,80,20,50,70,70,30,..,..,50
