,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation
13372,2018,Strömstad,crop_yield_total,SPEI12,5.432323232323232,1.2529619243079266,Linear,-19.99175946856777,-4.717225958585628,2
13373,2019,Strömstad,crop_yield_total,SPEI12,7.985181333679969,-0.8774196349873853,Linear,15.908698107587082,5.69894777779302,2
13374,2020,Strömstad,crop_yield_total,SPEI12,6.99360341151386,1.7536801150155552,Linear,0.0702458668286402,0.9393376315134088,2
13375,2021,Strömstad,crop_yield_total,SPEI12,6.603288797533402,1.461700259531943,Linear,-6.840958903441227,-3.6397770127171523,2
13376,2022,Strömstad,crop_yield_total,SPEI12,7.578765645230902,0.0585045706082784,Linear,5.441002075649328,6.284969452626476,2
13377,2005,Svenljunga,crop_yield_total,SPEI12,6.270670975099791,1.5138294497499678,Linear,14.089510953079728,-3.1404533967518287,2
13378,2006,Svenljunga,crop_yield_total,SPEI12,5.982142857142857,-0.631018095885833,Linear,6.904774141551876,7.773970059616177,2
13379,2007,Svenljunga,crop_yield_total,SPEI12,5.937607130613644,1.8563038366137603,Linear,4.255197270206891,0.050595296913142684,2
13380,2008,Svenljunga,crop_yield_total,SPEI12,5.535033125878337,1.5536334131560063,Linear,-4.482053085093608,-2.8747983369195413,2
13381,2009,Svenljunga,crop_yield_total,SPEI12,5.233690360272639,1.1713972764251177,Linear,-11.20687761415494,-4.403406523166744,2
13382,2010,Svenljunga,crop_yield_total,SPEI12,5.742847854356307,0.1982018593163372,Linear,-4.186010279601802,-0.32816640564202015,2
13383,2011,Svenljunga,crop_yield_total,SPEI12,5.217391304347826,0.592666220915366,Linear,-14.37412506707028,-3.063363342443658,2
13384,2012,Svenljunga,crop_yield_total,SPEI12,5.977096416697451,1.6927947674757262,Linear,-3.4821405467343864,-1.73398550606079,2
13385,2013,Svenljunga,crop_yield_total,SPEI12,5.820547031354236,1.3042595783831312,Linear,-7.496290448810247,-4.121542124964568,2
13386,2014,Svenljunga,crop_yield_total,SPEI12,6.827033218785796,-0.5198733296871851,Linear,6.810485286240266,6.622555419325215,2
13387,2015,Svenljunga,crop_yield_total,SPEI12,7.350720658888126,1.0952182170855105,Linear,13.240965140360872,-4.454947080648807,2
13388,2016,Svenljunga,crop_yield_total,SPEI12,6.062900407687828,0.8512598856059383,Linear,-8.008459590655061,-4.127816094970113,2
13389,2017,Svenljunga,crop_yield_total,SPEI12,7.604765817584224,-0.8452836269002011,Linear,13.670062933291296,9.952861727666555,2
13390,2018,Svenljunga,crop_yield_total,SPEI12,5.432323232323232,1.6606073430149209,Linear,-19.99175946856777,-2.027846286034073,2
13391,2019,Svenljunga,crop_yield_total,SPEI12,7.985181333679969,-1.7463641606897131,Linear,15.908698107587082,16.86772572320127,2
13392,2020,Svenljunga,crop_yield_total,SPEI12,6.99360341151386,1.315601313461512,Linear,0.0702458668286402,-4.085690624970896,2
13393,2021,Svenljunga,crop_yield_total,SPEI12,6.603288797533402,1.0910334496728948,Linear,-6.840958903441227,-4.455550394352403,2
13394,2022,Svenljunga,crop_yield_total,SPEI12,7.578765645230902,0.4376370961273801,Linear,5.441002075649328,-2.127874543847607,2
13395,2005,Tanum,crop_yield_total,SPEI12,6.270670975099791,0.9599040568622992,Linear,14.089510953079728,-3.308739724666477,2
13396,2006,Tanum,crop_yield_total,SPEI12,5.982142857142857,0.0098589229763974,Linear,6.904774141551876,6.339665682911061,2
13397,2007,Tanum,crop_yield_total,SPEI12,5.937607130613644,1.6422145529497654,Linear,4.255197270206891,-1.260795496662407,2
13398,2008,Tanum,crop_yield_total,SPEI12,5.535033125878337,1.4599432815093607,Linear,-4.482053085093608,-3.2002172886326274,2
13399,2009,Tanum,crop_yield_total,SPEI12,5.233690360272639,0.9403587209753552,Linear,-11.20687761415494,-3.1933123969445667,2
13400,2010,Tanum,crop_yield_total,SPEI12,5.742847854356307,0.7672441702352719,Linear,-4.186010279601802,-1.8929194303341657,2
13401,2011,Tanum,crop_yield_total,SPEI12,5.217391304347826,0.6264948026265,Linear,-14.37412506707028,-0.5406625527530213,2
13402,2012,Tanum,crop_yield_total,SPEI12,5.977096416697451,1.2663692598518588,Linear,-3.4821405467343864,-4.037527183847704,2
13403,2013,Tanum,crop_yield_total,SPEI12,5.820547031354236,1.6286043449569076,Linear,-7.496290448810247,-1.4483183065729754,2
13404,2014,Tanum,crop_yield_total,SPEI12,6.827033218785796,0.4307250786026735,Linear,6.810485286240266,1.6130347872906015,2
13405,2015,Tanum,crop_yield_total,SPEI12,7.350720658888126,1.7462917741059425,Linear,13.240965140360872,0.4185193191071246,2
13406,2016,Tanum,crop_yield_total,SPEI12,6.062900407687828,1.197504883924302,Linear,-8.008459590655061,-4.071749326280861,2
13407,2017,Tanum,crop_yield_total,SPEI12,7.604765817584224,-0.5625051327217588,Linear,13.670062933291296,9.615644140802498,2
13408,2018,Tanum,crop_yield_total,SPEI12,5.432323232323232,1.410527520164021,Linear,-19.99175946856777,-3.5254420990876856,2
13409,2019,Tanum,crop_yield_total,SPEI12,7.985181333679969,-0.8281174260379672,Linear,15.908698107587082,8.507457447466786,2
13410,2020,Tanum,crop_yield_total,SPEI12,6.99360341151386,1.7070983179721235,Linear,0.0702458668286402,-0.26580576704492387,2
13411,2021,Tanum,crop_yield_total,SPEI12,6.603288797533402,1.4786571375732935,Linear,-6.840958903441227,-3.0557556185406227,2
13412,2022,Tanum,crop_yield_total,SPEI12,7.578765645230902,0.256815252526148,Linear,5.441002075649328,3.6291903895254305,2
13413,2005,Tibro,crop_yield_total,SPEI12,6.270670975099791,0.5529165593391935,Linear,14.089510953079728,-1.6599520688703069,2
13414,2006,Tibro,crop_yield_total,SPEI12,5.982142857142857,-0.4953537478457808,Linear,6.904774141551876,8.32380589105271,2
13415,2007,Tibro,crop_yield_total,SPEI12,5.937607130613644,1.4334040823314618,Linear,4.255197270206891,-5.8172504257774715,2
13416,2008,Tibro,crop_yield_total,SPEI12,5.535033125878337,1.4553641959440409,Linear,-4.482053085093608,-5.825001298371189,2
13417,2009,Tibro,crop_yield_total,SPEI12,5.233690360272639,0.683432459619775,Linear,-11.20687761415494,-2.658972419877171,2
13418,2010,Tibro,crop_yield_total,SPEI12,5.742847854356307,0.6119227700644686,Linear,-4.186010279601802,-2.12393218063309,2
13419,2011,Tibro,crop_yield_total,SPEI12,5.217391304347826,1.3186008787376318,Linear,-14.37412506707028,-5.686235951904385,2
13420,2012,Tibro,crop_yield_total,SPEI12,5.977096416697451,1.201223043911969,Linear,-3.4821405467343864,-5.403554011371835,2
13421,2013,Tibro,crop_yield_total,SPEI12,5.820547031354236,1.8267315383604597,Linear,-7.496290448810247,-5.02473402268939,2
13422,2014,Tibro,crop_yield_total,SPEI12,6.827033218785796,-0.2124823292318773,Linear,6.810485286240266,5.5201041994264255,2
13423,2015,Tibro,crop_yield_total,SPEI12,7.350720658888126,0.6769031265864293,Linear,13.240965140360872,-2.6114220330957107,2
13424,2016,Tibro,crop_yield_total,SPEI12,6.062900407687828,0.7804205902754969,Linear,-8.008459590655061,-3.3324351285380502,2
13425,2017,Tibro,crop_yield_total,SPEI12,7.604765817584224,-1.113759351104895,Linear,13.670062933291296,13.615863445413165,2
13426,2018,Tibro,crop_yield_total,SPEI12,5.432323232323232,0.7108705858822615,Linear,-19.99175946856777,-2.8558204047967988,2
13427,2019,Tibro,crop_yield_total,SPEI12,7.985181333679969,-1.5515307119528414,Linear,15.908698107587082,15.92135871870449,2
13428,2020,Tibro,crop_yield_total,SPEI12,6.99360341151386,0.8409658184263397,Linear,0.0702458668286402,-3.7197432748198653,2
13429,2021,Tibro,crop_yield_total,SPEI12,6.603288797533402,0.4450122399433866,Linear,-6.840958903441227,-0.7640495425286962,2
13430,2022,Tibro,crop_yield_total,SPEI12,7.578765645230902,-0.1031481791471026,Linear,5.441002075649328,4.424237460373943,2
13431,2005,Tidaholm,crop_yield_total,SPEI12,6.270670975099791,1.0641019560166984,Linear,14.089510953079728,-4.41845230767986,2
13432,2006,Tidaholm,crop_yield_total,SPEI12,5.982142857142857,-0.6255983262084067,Linear,6.904774141551876,6.765949302016453,2
13433,2007,Tidaholm,crop_yield_total,SPEI12,5.937607130613644,1.4123255404573072,Linear,4.255197270206891,-3.7917992382710644,2
13434,2008,Tidaholm,crop_yield_total,SPEI12,5.535033125878337,1.540330493590219,Linear,-4.482053085093608,-3.167630007730244,2
13435,2009,Tidaholm,crop_yield_total,SPEI12,5.233690360272639,0.6616945848439202,Linear,-11.20687761415494,-3.4766393240325257,2
13436,2010,Tidaholm,crop_yield_total,SPEI12,5.742847854356307,0.2720822391022028,Linear,-4.186010279601802,-1.2412171674134562,2
13437,2011,Tidaholm,crop_yield_total,SPEI12,5.217391304347826,1.2951690189053582,Linear,-14.37412506707028,-4.170379478449173,2
13438,2012,Tidaholm,crop_yield_total,SPEI12,5.977096416697451,1.428923538199102,Linear,-3.4821405467343864,-3.723536536882552,2
13439,2013,Tidaholm,crop_yield_total,SPEI12,5.820547031354236,1.546673087354992,Linear,-7.496290448810247,-3.130755598176302,2
13440,2014,Tidaholm,crop_yield_total,SPEI12,6.827033218785796,-0.6405472436131534,Linear,6.810485286240266,6.913911575952154,2
13441,2015,Tidaholm,crop_yield_total,SPEI12,7.350720658888126,0.8107733797372132,Linear,13.240965140360872,-4.00941280205356,2
13442,2016,Tidaholm,crop_yield_total,SPEI12,6.062900407687828,0.6147504553462535,Linear,-8.008459590655061,-3.2685181648628427,2
13443,2017,Tidaholm,crop_yield_total,SPEI12,7.604765817584224,-1.211622284645818,Linear,13.670062933291296,12.390995019675414,2
13444,2018,Tidaholm,crop_yield_total,SPEI12,5.432323232323232,0.8846134945726591,Linear,-19.99175946856777,-4.196340785397258,2
13445,2019,Tidaholm,crop_yield_total,SPEI12,7.985181333679969,-1.7845958345991282,Linear,15.908698107587082,16.725838250274084,2
13446,2020,Tidaholm,crop_yield_total,SPEI12,6.99360341151386,0.6325712295281877,Linear,0.0702458668286402,-3.3497009125968615,2
13447,2021,Tidaholm,crop_yield_total,SPEI12,6.603288797533402,0.5405114129291795,Linear,-6.840958903441227,-2.9025510539813486,2
13448,2022,Tidaholm,crop_yield_total,SPEI12,7.578765645230902,-0.168703292490475,Linear,5.441002075649328,2.3725060002749148,2
13449,2005,Tjörn,crop_yield_total,SPEI12,6.270670975099791,0.8332257688846333,Linear,14.089510953079728,-1.2854712512710105,2
13450,2006,Tjörn,crop_yield_total,SPEI12,5.982142857142857,-0.0828669474011251,Linear,6.904774141551876,7.920741116602178,2
13451,2007,Tjörn,crop_yield_total,SPEI12,5.937607130613644,1.9500662443448016,Linear,4.255197270206891,-1.0073831875921027,2
13452,2008,Tjörn,crop_yield_total,SPEI12,5.535033125878337,1.5056791686228783,Linear,-4.482053085093608,-3.9429137591741394,2
13453,2009,Tjörn,crop_yield_total,SPEI12,5.233690360272639,0.7256294734570901,Linear,-11.20687761415494,-0.35068869031817584,2
13454,2010,Tjörn,crop_yield_total,SPEI12,5.742847854356307,0.7693066870564192,Linear,-4.186010279601802,-0.7414229784753408,2
13455,2011,Tjörn,crop_yield_total,SPEI12,5.217391304347826,0.9332130415673284,Linear,-14.37412506707028,-2.060947307757349,2
13456,2012,Tjörn,crop_yield_total,SPEI12,5.977096416697451,1.4275165188694867,Linear,-3.4821405467343864,-4.00609805992568,2
13457,2013,Tjörn,crop_yield_total,SPEI12,5.820547031354236,1.7159130252545045,Linear,-7.496290448810247,-3.1395096788489862,2
13458,2014,Tjörn,crop_yield_total,SPEI12,6.827033218785796,0.0551806794656931,Linear,6.810485286240266,6.551444365484596,2
13459,2015,Tjörn,crop_yield_total,SPEI12,7.350720658888126,1.612006943310804,Linear,13.240965140360872,-3.657642269791795,2
13460,2016,Tjörn,crop_yield_total,SPEI12,6.062900407687828,1.2105362664431822,Linear,-8.008459590655061,-3.6018055076255546,2
13461,2017,Tjörn,crop_yield_total,SPEI12,7.604765817584224,-0.3687278559451271,Linear,13.670062933291296,10.333618825964596,2
13462,2018,Tjörn,crop_yield_total,SPEI12,5.432323232323232,1.7215790116001717,Linear,-19.99175946856777,-3.1040830901942797,2
13463,2019,Tjörn,crop_yield_total,SPEI12,7.985181333679969,-0.6948214565994036,Linear,15.908698107587082,11.976835266623093,2
13464,2020,Tjörn,crop_yield_total,SPEI12,6.99360341151386,1.5890246091590912,Linear,0.0702458668286402,-3.7396197948471777,2
13465,2021,Tjörn,crop_yield_total,SPEI12,6.603288797533402,1.2818411348901555,Linear,-6.840958903441227,-3.822270662760813,2
13466,2022,Tjörn,crop_yield_total,SPEI12,7.578765645230902,0.924927479724308,Linear,5.441002075649328,-2.000516565425407,2
13467,2005,Tranemo,crop_yield_total,SPEI12,6.270670975099791,1.4800499769702298,Linear,14.089510953079728,-1.531877563785262,2
13468,2006,Tranemo,crop_yield_total,SPEI12,5.982142857142857,-0.8058319203078711,Linear,6.904774141551876,8.453281500408588,2
13469,2007,Tranemo,crop_yield_total,SPEI12,5.937607130613644,1.659744041216057,Linear,4.255197270206891,1.2848223269101184,2
13470,2008,Tranemo,crop_yield_total,SPEI12,5.535033125878337,1.660841662810285,Linear,-4.482053085093608,1.3046440894460873,2
13471,2009,Tranemo,crop_yield_total,SPEI12,5.233690360272639,1.1493458835756951,Linear,-11.20687761415494,-4.667019994781075,2
13472,2010,Tranemo,crop_yield_total,SPEI12,5.742847854356307,0.2289879474308444,Linear,-4.186010279601802,-2.7942381550448134,2
13473,2011,Tranemo,crop_yield_total,SPEI12,5.217391304347826,0.6226554668333105,Linear,-14.37412506707028,-5.139281429540251,2
13474,2012,Tranemo,crop_yield_total,SPEI12,5.977096416697451,1.5195622791179226,Linear,-3.4821405467343864,-0.9839531700474675,2
13475,2013,Tranemo,crop_yield_total,SPEI12,5.820547031354236,1.0745641228039882,Linear,-7.496290448810247,-5.044307083485685,2
13476,2014,Tranemo,crop_yield_total,SPEI12,6.827033218785796,-0.6751529811770369,Linear,6.810485286240266,6.94096412385105,2
13477,2015,Tranemo,crop_yield_total,SPEI12,7.350720658888126,1.1035194257409944,Linear,13.240965140360872,-4.911711586891908,2
13478,2016,Tranemo,crop_yield_total,SPEI12,6.062900407687828,0.540670590919199,Linear,-8.008459590655061,-4.809307004564381,2
13479,2017,Tranemo,crop_yield_total,SPEI12,7.604765817584224,-1.0544397480327607,Linear,13.670062933291296,11.155675548137234,2
13480,2018,Tranemo,crop_yield_total,SPEI12,5.432323232323232,1.3614900213427157,Linear,-19.99175946856777,-2.945743280942004,2
13481,2019,Tranemo,crop_yield_total,SPEI12,7.985181333679969,-1.8913372215329625,Linear,15.908698107587082,16.30500527435815,2
13482,2020,Tranemo,crop_yield_total,SPEI12,6.99360341151386,1.0383720129715446,Linear,0.0702458668286402,-5.186609629394117,2
13483,2021,Tranemo,crop_yield_total,SPEI12,6.603288797533402,0.923547857327261,Linear,-6.840958903441227,-5.4721481238612295,2
13484,2022,Tranemo,crop_yield_total,SPEI12,7.578765645230902,0.0964527472839754,Linear,5.441002075649328,-1.635929070106374,2
13485,2005,Trollhättan,crop_yield_total,SPEI12,6.270670975099791,1.052130408034626,Linear,14.089510953079728,-4.326860534338934,2
13486,2006,Trollhättan,crop_yield_total,SPEI12,5.982142857142857,-0.6164654278112288,Linear,6.904774141551876,8.711717134085314,2
13487,2007,Trollhättan,crop_yield_total,SPEI12,5.937607130613644,1.8090807481587723,Linear,4.255197270206891,-0.02251440971924401,2
13488,2008,Trollhättan,crop_yield_total,SPEI12,5.535033125878337,1.5252678039490113,Linear,-4.482053085093608,-2.8763654097969638,2
13489,2009,Trollhättan,crop_yield_total,SPEI12,5.233690360272639,1.0822418489709875,Linear,-11.20687761415494,-4.341125175874714,2
13490,2010,Trollhättan,crop_yield_total,SPEI12,5.742847854356307,0.5363307138260471,Linear,-4.186010279601802,-2.309821383623936,2
13491,2011,Trollhättan,crop_yield_total,SPEI12,5.217391304347826,0.7573525636974895,Linear,-14.37412506707028,-3.5480431646243678,2
13492,2012,Trollhättan,crop_yield_total,SPEI12,5.977096416697451,1.6646001431419022,Linear,-3.4821405467343864,-1.6823285455940407,2
13493,2013,Trollhättan,crop_yield_total,SPEI12,5.820547031354236,1.70006526251688,Linear,-7.496290448810247,-1.3158140635119895,2
13494,2014,Trollhättan,crop_yield_total,SPEI12,6.827033218785796,-0.3201318127269834,Linear,6.810485286240266,5.615628759680091,2
13495,2015,Trollhättan,crop_yield_total,SPEI12,7.350720658888126,1.5389297184243385,Linear,13.240965140360872,-2.7761473083636203,2
13496,2016,Trollhättan,crop_yield_total,SPEI12,6.062900407687828,0.9848908189875708,Linear,-8.008459590655061,-4.2487692179851635,2
13497,2017,Trollhättan,crop_yield_total,SPEI12,7.604765817584224,-0.8525455581983423,Linear,13.670062933291296,11.009513547848437,2
13498,2018,Trollhättan,crop_yield_total,SPEI12,5.432323232323232,1.396519850742121,Linear,-19.99175946856777,-3.649169789782032,2
13499,2019,Trollhättan,crop_yield_total,SPEI12,7.985181333679969,-1.704082952412398,Linear,15.908698107587082,15.858928807030587,2
13500,2020,Trollhättan,crop_yield_total,SPEI12,6.99360341151386,1.192925688018249,Linear,0.0702458668286402,-4.27792750297027,2
13501,2021,Trollhättan,crop_yield_total,SPEI12,6.603288797533402,1.2549932317034171,Linear,-6.840958903441227,-4.159203951574755,2
13502,2022,Trollhättan,crop_yield_total,SPEI12,7.578765645230902,0.4023814088362574,Linear,5.441002075649328,-1.339431810220225,2
13503,2005,Töreboda,crop_yield_total,SPEI12,6.270670975099791,0.3712301011373975,Linear,14.089510953079728,-0.35067832141946953,2
13504,2006,Töreboda,crop_yield_total,SPEI12,5.982142857142857,-0.7144455298438617,Linear,6.904774141551876,10.055420256004016,2
13505,2007,Töreboda,crop_yield_total,SPEI12,5.937607130613644,1.52209646986384,Linear,4.255197270206891,-5.559247056200044,2
13506,2008,Töreboda,crop_yield_total,SPEI12,5.535033125878337,1.2282413946615622,Linear,-4.482053085093608,-5.422460621415735,2
13507,2009,Töreboda,crop_yield_total,SPEI12,5.233690360272639,0.4882750317196249,Linear,-11.20687761415494,-1.3395752918675825,2
