,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
90796,2009,Tranås,hydro_prod,HWI,12529.0,-0.5309739668372729,Linear,-83.92931093245903,-4.720852199332138,10,4
90797,2010,Tranås,hydro_prod,HWI,123728.0,-0.3816733721235549,Linear,96.96719305709044,-5.896887466458705,10,4
90798,2011,Tranås,hydro_prod,HWI,102094.0,2.482077126893146,Linear,114.16242099170005,-4.394602728750893,10,4
90799,2012,Tranås,hydro_prod,HWI,1036.0,1.7262894946947147,Linear,-96.81485953817564,5.37438261093013,10,4
90800,2013,Tranås,hydro_prod,HWI,611.0,2.929782185983869,Linear,-96.48462286203409,-47.213497083649834,10,4
90801,2014,Tranås,hydro_prod,HWI,594.0,3.091017448574128,Linear,-73.42904613814353,-73.89042744810305,10,4
90802,2005,Trollhättan,hydro_prod,HWI,1070607.0,2.0809315638662063,Linear,-28.47082329054708,-1.716636411334794,10,1
90803,2006,Trollhättan,hydro_prod,HWI,1279204.0,2.425447268031748,Linear,-12.306065965959116,-2.6000259158824752,10,1
90804,2007,Trollhättan,hydro_prod,HWI,1406116.0,-0.2115913927056164,Linear,-1.0256320913771682,4.161733411240991,10,1
90805,2008,Trollhättan,hydro_prod,HWI,1589661.0,1.3547131684636584,Linear,14.97124036228184,0.14549556335106306,10,1
90806,2009,Trollhättan,hydro_prod,HWI,1303912.0,-1.0250895980573558,Linear,-3.028364236109232,6.24766379957183,10,1
90807,2010,Trollhättan,hydro_prod,HWI,1535012.0,0.3036050466326859,Linear,17.480949173598205,2.840693116737885,10,1
90808,2011,Trollhättan,hydro_prod,HWI,1279514.0,1.5533453357301317,Linear,0.8620907176056085,-0.36382685564800754,10,1
90809,2012,Trollhättan,hydro_prod,HWI,1497446.0,0.8331470248772365,Linear,21.689125690396654,1.4828687268985306,10,1
90810,2013,Trollhättan,hydro_prod,HWI,1408735.0,2.5673391254315847,Linear,18.130630387810623,-2.963857741521293,10,1
90811,2014,Trollhättan,hydro_prod,HWI,1320024.0,2.769760889682806,Linear,14.33771227053825,-3.4828972508077287,10,1
90812,2015,Trollhättan,hydro_prod,HWI,1231313.0,0.603911856122033,Linear,10.286417754228072,2.0706617932321887,10,1
90813,2016,Trollhättan,hydro_prod,HWI,1142602.0,-0.2944059856467808,Linear,5.9494147080701705,4.374082344375431,10,1
90814,2017,Trollhättan,hydro_prod,HWI,868216.0,1.863793006960799,Linear,-16.55089063273885,-1.159860856886639,10,1
90815,2018,Trollhättan,hydro_prod,HWI,858197.8,5.580264986088352,Linear,-14.384533785268482,-10.689447754119294,10,1
90816,2019,Trollhättan,hydro_prod,HWI,848179.6,0.8512862130566702,Linear,-12.047326133045033,1.4363571506046742,10,1
90817,2020,Trollhättan,hydro_prod,HWI,838161.4,1.204902141744797,Linear,-9.51822661951462,0.5296333169245941,10,1
90818,2021,Trollhättan,hydro_prod,HWI,828143.2,1.6399055330632513,Linear,-6.772591210864226,-0.5857800755189704,10,1
90819,2022,Trollhättan,hydro_prod,HWI,818125.0,2.9344160612553,Linear,-3.781367208093199,-3.9050975995231747,10,1
